[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
NCALLERS: NUMBER | Number of callers: a value between 2 and 8 (most common is 5)
Gene: TEXT | The gene symbol. In this table, gene symbol is simulated data e.g. ENSG00000251562
aliquot_barcode_tumor: TEXT | TCGA aliquot barcode for the tumor, eg TCGA-12-1089-01A-01D-0517-01
PHENO: TEXT | Indicates if existing variant is associated with a phenotype, disease or trait (0, 1, or null)
t_alt_count: NUMBER | Read depth supporting the variant allele in tumor BAM
HGVS_OFFSET: NUMBER | Indicates by how many bases the HGVS notations for this variant have been shifted
DOMAINS: TEXT | Source and identifier of any overlapping protein domains
COSMIC: TEXT | Overlapping COSMIC variants
BIOTYPE: TEXT | Biotype of transcript
HGNC_ID: NUMBER | Gene identifier from the HUGO Gene Nomenclature Committee if applicable
DISTANCE: NUMBER | Shortest distance from the variant to transcript
HGVSp_Short: TEXT | Same as the HGVSp column, but using 1-letter amino-acid codes
ENSP: TEXT | Ensembl protein identifier of the affected transcript
ASN_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined Asian population
n_depth: NUMBER | Read depth across this locus in normal BAM
SAS_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined South Asian population
Reference_Allele: TEXT | The plus strand reference allele at this position. Includes the deleted sequence for a deletion or - for an insertion
t_depth: NUMBER | Read depth across this locus in tumor BAM
CONTEXT: TEXT | Reference allele per VCF specs, and its five flanking base pairs
SYMBOL: TEXT | Eg TP53, LRP1B, etc (same as Hugo_Symbol field except blank instead of Unknown
Chromosome: TEXT | Chromosome, possible values: 1, X, etc (ie does not include chr prefix)
CALLERS: TEXT | |-delimited list of mutation caller(s) that agreed on this particular call, always in alphabetical order: muse, mutect, somaticsniper, varscan
NCBI_Build: TEXT | The reference genome used for the alignment (GRCh37)
sample_barcode_tumor: TEXT | TCGA sample barcode for the tumor, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries

## TCGA_VERSIONED.DNA_METHYLATION_CHR4_HG38_GDC_2017_01
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-20
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
probe_id: TEXT | Unique ID for the array probe associated with a CpG site
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba28
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba35

## TCGA_VERSIONED.DNA_METHYLATION_CHR15_HG19_GDC_2017_01
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)

## TCGA_VERSIONED.DNA_METHYLATION_HG38_GDC_2017_01
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba18
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba11
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)
probe_id: TEXT | Unique ID for the array probe associated with a CpG site
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-03
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R36
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
index_file_name_key: TEXT | GDC path to original vcf or bam index file, when present
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
index_file_size: NUMBER | The size of the index file measured in bytes, when present
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
program_name: TEXT | Program name, eg TCGA or TARGET
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
access: TEXT | Data accessibility policy (open or controlled)
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
file_name_key: TEXT | GDC path to original BAM or VCF file
file_size: NUMBER | The size of a file measured in bytes
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
index_file_id: TEXT | BAM or VCF index file GDC file UUID, when present
platform: TEXT | Platform used to generate data (null, Illumina)
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null

## TCGA_VERSIONED.DNA_METHYLATION_CHR14_HG38_GDC_2017_01
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
probe_id: TEXT | Unique ID for the array probe associated with a CpG site
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba17
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-09
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba24

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R34
file_name_key: TEXT | GDC path to original BAM or VCF file
access: TEXT | Data accessibility policy (open or controlled)
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
file_size: NUMBER | The size of a file measured in bytes
platform: TEXT | Platform used to generate data (null, Illumina)
index_file_name_key: TEXT | GDC path to original vcf or bam index file, when present
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
index_file_size: NUMBER | The size of the index file measured in bytes, when present
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
program_name: TEXT | Program name, eg TCGA or TARGET
index_file_id: TEXT | BAM or VCF index file GDC file UUID, when present

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R24
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
index_file_name_key: TEXT | GDC path to original vcf or bam index file, when present
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
platform: TEXT | Platform used to generate data (null, Illumina)
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
index_file_size: NUMBER | The size of the index file measured in bytes, when present
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
file_name_key: TEXT | GDC path to original BAM or VCF file
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
access: TEXT | Data accessibility policy (open or controlled)
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
index_file_id: TEXT | BAM or VCF index file GDC file UUID, when present
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
program_name: TEXT | Program name, eg TCGA or TARGET
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc
file_size: NUMBER | The size of a file measured in bytes
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37

## TCGA_VERSIONED.MIRNASEQ_ISOFORM_HG38_GDC_R14
mirna_transcript: TEXT | The type of transcript -- either mature, precursor, unannotated, or stemloop  (if this value is not mature, then the mirna_accession field will be null)
cross_mapped: TEXT | A short isomiR read may map exactly to mature strands whose sequences are similar but not identical, when the read sequence does not capture the bases that distinguish these miRNAs (e.g. hsa-mir-30a at 6q13 and hsa-mir-30e at 1p34.2, which differ at position 18). We report such a <line_feed> read as cross-mapped, and we increment the read count for each MIMAT that it mapped to. Either Y or N -- fewer than 2% are Y
end_pos: NUMBER | 1-based end chromosome position of isoform
strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
mirna_id: TEXT | Unique miRNA id (aka symbol), eg hsa-mir-21  --  relevant reference information can be found in the isb-cgc:genome_reference dataset in the tables miRBase_v21 and miRBase_v21_hsa_gff4
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-29
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
mirna_accession: TEXT | The mature miRNA accession id (eg MIMAT0000062) -- note that this can also be null, in the event that this read does not map to a mature portion of the miRNA
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
read_count: NUMBER | Number of reads that were mapped to this mirna_id
reads_per_million_miRNA_mapped: FLOAT | Read count normalized by total reads mapped divided by 1 million
start_pos: NUMBER | 1-based start chromosome position of isoform
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_OVARIAN_JHU_PDC_V1_19
authority: TEXT | Designating authority for the gene id
aliquot_id: TEXT | Unique PDC identifier for this aliquot (e.g. e8db124a-693a-11ea-b1fd-0aad30af8a83)
aliquot_submitter_id: TEXT | Aliquot submitter id assigned by program (e.g. T14)
aliquot_run_metadata_id: TEXT | Uniquely identifies the aliquot by how it was used in the experiment (based on the labelling reagent and/or biological replicate)
uniprotkb_ids: TEXT | Every UniProt id found in 'proteins' column list
uniprotkb_id: TEXT | Oldest UniProt id found in 'proteins' column list, derived programmatically
proteins: TEXT | Semi-colon separated list of protein accessions associated with the gene; includes identifiers from multiple sources (e.g. UniProt, NCBI RefSeq database)
locus: TEXT | Gene cytoband, sourced by PDC from NCBI
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
gene_id: TEXT | Unique gene identifier assigned by PDC
gene_symbol: TEXT | Gene symbol, sourced by PDC from NCBI
NCBI_gene_id: TEXT | NCBI gene identifier
study_name: TEXT | Name of the study (e.g. Pediatric Brain Cancer Pilot Study - Phosphoproteome)
authority_gene_id: TEXT | Unique identifier assigned by authority (e.g. HGNC)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI
assays: TEXT | CPTAC Assay accessions for the peptides associated with the gene
organism: TEXT | Gene organism, sourced by PDC from NCBI
chromosome: TEXT | NCBI gene chromosome
protein_abundance_log2ratio: TEXT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample

## TCGA_VERSIONED.DNA_METHYLATION_CHR19_HG19_GDC_2017_01
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R40
data_category: TEXT | Category description of the underlying data, e.g. Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc.
program_name: TEXT | Program name, e.g. TCGA or TARGET
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation, eg. TCGA-OV, etc.
index_file_size: NUMBER | Where available, size of the index file in bytes
case_barcode: TEXT | Submitter identifier, e.g. HCC1954, TCGA-ZX-AA5X, etc.
sample_barcode: TEXT | Original/submitter sample ID
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)--this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba4
case_gdc_id: TEXT | GDC unique identifier
data_format: TEXT | File format of the underlying data, e.g. BCR XML, BAM
sample_type_name: TEXT | The longer name of the sample type, e.g. Primary Tumor, Recurrent Tumor, etc.
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), e.g. a1ec9279-c1a6-4e58-97ed-9ec1f36187c5--this can be used to access more information from the GDC data portal
data_type: TEXT | Experimental source of the data type, e.g. Tissue slide image, RNA-Seq
platform: TEXT | Platform used to generate this data, e.g. Illumina, Affymetrix SNP 6.10
index_file_id: TEXT | BAM or VCF index file GDC file UUID
access: TEXT | Data accessibility policy (open or controlled)
file_size: NUMBER | The size of the file measured in bytes
acl: TEXT | Access Control List--if access is controlled, this field contains the dbGaP accession, e.g. phs000179
index_file_name_key: TEXT | GDC path to original vcf or bam index file
file_type: TEXT | File type--e.g. aligned_reads, simple_somatic_mutation, gene_expression, etc.
file_name_key: TEXT | GDC path to original bam or vcf file
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq

## TCGA_VERSIONED.RNASEQ_HG38_GDC_2017_12
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-31
platform: TEXT | Platform used to generate data; either IlluminaHiSeqor IlluminaGA
gene_type: TEXT | The type of genetic element the reads mapped to, eg protein_coding, ribozyme
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
HTSeq__FPKM: FLOAT | FPKM is implemented at the GDC on gene-level read counts that are produced by HTSeq1 and generated using custom. scripts https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-FPKM/
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba36
HTSeq__Counts: NUMBER | Number of mapped reads to each gene as calculated by the Python package HTSeq. https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-Counts/
Ensembl_gene_id: TEXT | The Ensembl gene ID from the underlying file, but stripped of the version suffix -- eg ENSG00000185028
HTSeq__FPKM_UQ: FLOAT | Fragments Per Kilobase of transcript per Million mapped reads (FPKM) is a simple expression level normalization method. The FPKM normalizes read count based on gene length and the total number of mapped reads. https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-FPKM/
