[COMPONENTS]
@C1
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
diag__year_of_diagnosis: NUMBER | Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer.
exp__cigarettes_per_day: FLOAT | The average number of cigarettes smoked per day.
exp__exposure_id: TEXT | GDC-assigned identifier for a case's exposure data.
exp__pack_years_smoked: FLOAT | Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.
exp__state: TEXT | The current state of the object.
proj__name: TEXT | Display name for the project to which a case belongs.
proj__project_id: TEXT | GDC-assigned identifier for the project to which a case belongs.
state: TEXT | The current state of the object.
submitter_id: TEXT | The submitter_id of a case entity corresponds to the submitted_subject_id of the study participant in dbGaP records for the project.

@C2
all_effects: TEXT | A semicolon delimited list of all possible variant effects, sorted by priority ([Symbol,Consequence,HGVSp_Short,Transcript_ID,RefSeq,HGVSc,Impact,Canonical,Sift,PolyPhen,Strand])
Amino_acids: TEXT | Amino acid substitution caused by the mutation, only given if the variation affects the protein-coding sequence
BIOTYPE: TEXT | Biotype of transcript
CANONICAL: TEXT | A flag (YES) indicating that the VEP-based canonical transcript, the longest translation, was used for this gene, if not, the value is null
CCDS: TEXT | CCDS identifier for this transcript, where applicable
cDNA_position: TEXT | Relative position of base pair in the cDNA sequence as a fraction. A - symbol is displayed as the numerator if the variant does not appear in cDNA
CDS_position: TEXT | Relative position of base pair in coding sequence. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
CLIN_SIG: TEXT | Clinical significance of variant from dbSNP
Codons: TEXT | Alternative codons with the variant base in upper case
Consequence: TEXT | Consequence type of this variant; sequence ontology terms
CONTEXT: TEXT | Reference allele per VCF specs, and its five flanking base pairs
COSMIC: TEXT | Overlapping COSMIC variants
DOMAINS: TEXT | Source and identifier of any overlapping protein domains
ENSP: TEXT | Ensembl protein identifier of the affected transcript
Existing_variation: TEXT | Known identifier of existing variation
EXON: TEXT | Exon number (out of total number)
Exon_Number: TEXT | Exon number (out of total number)
Feature: TEXT | Stable Ensembl ID of feature (transcript, regulatory, motif)
Feature_type: TEXT | Type of feature. Currently one of Transcript, RegulatoryFeature, MotifFeature (or blank)
Gene: TEXT | The gene symbol. In this table, gene symbol is simulated data e.g. ENSG00000251562
HGVSc: TEXT | Coding sequence of the variant in HGVS recommended format
HGVSp: TEXT | Protein sequence of the variant in HGVS recommended format. p.= signifies no change in the protein
HGVSp_Short: TEXT | Same as the HGVSp column, but using 1-letter amino-acid codes
IMPACT: TEXT | Impact modifier for the consequence type
INTRON: TEXT | Intron number (out of total number)
PHENO: TEXT | Indicates if existing variant is associated with a phenotype, disease or trait (0, 1, or null)
PolyPhen: TEXT | PolyPhen prediction and/or score
Protein_position: TEXT | Relative position of affected amino acid in protein. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
PUBMED: TEXT | Pubmed ID(s) of publications that cite existing variant
SIFT: TEXT | SIFT prediction and/or score, with both given as prediction (score)
SOMATIC: TEXT | Somatic status of each ID reported under Existing_variation (0, 1, or null)
SWISSPROT: TEXT | UniProtKB/Swiss-Prot accession
SYMBOL: TEXT | Eg TP53, LRP1B, etc (same as Hugo_Symbol field except blank instead of Unknown
SYMBOL_SOURCE: TEXT | The source of the gene symbol, usually HGNC, rarely blank, other sources include Uniprot_gn, EntrezGene, etc
Transcript_ID: TEXT | Ensembl ID of the transcript affected by the variant
TREMBL: TEXT | UniProtKB/TrEMBL identifier of protein product
UNIPARC: TEXT | UniParc identifier of protein product
VARIANT_CLASS: TEXT | Sequence Ontology variant class

@C3
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
file_name_key: TEXT | GDC path to original BAM or VCF file
index_file_id: TEXT | BAM or VCF index file GDC file UUID, when present
index_file_name_key: TEXT | GDC path to original vcf or bam index file, when present
index_file_size: NUMBER | The size of the index file measured in bytes, when present

@C4
APPRIS: TEXT | Annotates alternatively spliced transcripts as primary or alternate based on a range of computational methods
DISTANCE: TEXT | Shortest distance from the variant to transcript
ESP_AA_AF: FLOAT | Non-reference allele and frequency of existing variant in NHLBI-ESP African American population
ESP_EA_AF: FLOAT | Non-reference allele and frequency of existing variant in NHLBI-ESP European American population
FLAGS: TEXT | Transcript quality flags
gnomAD_AF: FLOAT | Frequency of existing variant in gnomAD exomes combined population
gnomAD_AFR_AF: FLOAT | Frequency of existing variant in gnomAD exomes African/American population
gnomAD_AMR_AF: FLOAT | Frequency of existing variant in gnomAD exomes American population
gnomAD_ASJ_AF: FLOAT | Frequency of existing variant in gnomAD exomes Ashkenazi Jewish population
gnomAD_EAS_AF: FLOAT | Frequency of existing variant in gnomAD exomes East Asian population
gnomAD_FIN_AF: FLOAT | Frequency of existing variant in gnomAD exomes Finnish population
gnomAD_NFE_AF: FLOAT | Frequency of existing variant in gnomAD exomes Non-Finnish European population
gnomAD_non_cancer_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes combined non-cancer population
gnomAD_non_cancer_AFR_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer African/American population
gnomAD_non_cancer_AMI_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Amish population
gnomAD_non_cancer_AMR_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Latino population
gnomAD_non_cancer_ASJ_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Ashkenazi Jewish population
gnomAD_non_cancer_EAS_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer East Asian population
gnomAD_non_cancer_FIN_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Finnish population
gnomAD_non_cancer_MAX_AF_adj: FLOAT | Maximum observed allele frequency in non-cancer gnomAD genomes populations after removing subpopulations with less than 2 allele counts
gnomAD_non_cancer_MAX_AF_POPS_adj: TEXT | Non-cancer gnomAD genomes populations in which the maximum allele frequency was observed after removing those with less than 2 allele counts
gnomAD_non_cancer_MID_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Middle Eastern population
gnomAD_non_cancer_NFE_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Non-Finnish European population
gnomAD_non_cancer_OTH_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Other population
gnomAD_non_cancer_SAS_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer South Asian population
gnomAD_OTH_AF: FLOAT | Frequency of existing variant in gnomAD exomes other combined population
gnomAD_SAS_AF: FLOAT | Frequency of existing variant in gnomAD exomes South Asian population
HGVS_OFFSET: TEXT | Indicates by how many bases the HGVS notations for this variant have been shifted
hotspot: BOOLEAN | A flag indicating if the variant is a known hotspot (Y, N, or null)
MANE: TEXT | MANE (Matched Annotation by NCBI and EMBL-EBI) Transcript
Matched_Norm_Aliquot_Barcode: TEXT | Aliquot barcode for the matched normal sample
Matched_Norm_Aliquot_UUID: TEXT | Unique GDC identifier for normal aliquot (10189 unique)
MAX_AF: FLOAT | Maximum observed allele frequency in 1000 Genomes, ESP and ExAC/gnomAD
MAX_AF_POPS: TEXT | Populations in which maximum allele frequency was observed
miRNA: TEXT | SO terms of overlapped miRNA secondary structure feature(s)
muse: TEXT | Muse caller identified the variant at this position
mutect2: TEXT | Mutect2 caller identified the variant at this position
normal_submitter_uuid: TEXT | Unique GDC identifier for the normal file submitter
pindel: TEXT | pindel caller identified the variant at this position
RNA_alt_count: TEXT | Read depth supporting the variant allele at this locus if the variant is supported by tumor RNA-seq data.
RNA_depth: TEXT | Read depth at this locus if the variant is supported by tumor RNA-seq data.
RNA_ref_count: TEXT | Read depth supporting the reference allele at this locus if the variant is supported by tumor RNA-seq data.
RNA_Support: TEXT | Indicates if the variant is found and alleles (Match), simply (Overlap), or is not supported (No) by tumor RNA-Seq. If it has not been checked against RNA-Seq data, the value will be 'Unknown'.
ThousG_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes
ThousG_AFR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined African population
ThousG_AMR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined American population
ThousG_EAS_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined East Asian population
ThousG_EUR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined European population
ThousG_SAS_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined South Asian population
TRANSCRIPTION_FACTORS: TEXT | List of transcription factors which bind to the transcription factor binding profile
TSL: TEXT | Transcript support level, which is based on independent RNA analyses
Tumor_Aliquot_Barcode: TEXT | Aliquot barcode for the tumor sample
Tumor_Aliquot_UUID: TEXT | Unique GDC identifier for tumor aliquot (10189 unique)
tumor_submitter_uuid: TEXT | Unique GDC identifier for the tumor file submitter
UNIPROT_ISOFORM: TEXT | Direct mappings to UniProtKB isoforms
varscan2: TEXT | Varscan2 caller identified the variant at this position

@C5
assays: TEXT | CPTAC Assay accessions for the peptides associated with the gene
authority: TEXT | Designating authority for the gene id
authority_gene_id: TEXT | Unique identifier assigned by authority (e.g. HGNC)
gene_id: TEXT | Unique gene identifier assigned by PDC
gene_symbol: TEXT | Gene symbol, sourced by PDC from NCBI
locus: TEXT | Gene cytoband, sourced by PDC from NCBI
NCBI_gene_id: TEXT | NCBI gene identifier
organism: TEXT | Gene organism, sourced by PDC from NCBI
proteins: TEXT | Semi-colon separated list of protein accessions associated with the gene; includes identifiers from multiple sources (e.g. UniProt, NCBI RefSeq database)
uniprotkb_id: TEXT | Oldest UniProt id found in 'proteins' column list, derived programmatically
uniprotkb_ids: TEXT | Every UniProt id found in 'proteins' column list

@C6
aliquot_barcode_normal: TEXT | TCGA aliquot barcode for the normal control, eg TCGA-12-1089-01A-01D-0517-01
aliquot_barcode_tumor: TEXT | TCGA aliquot barcode for the tumor, eg TCGA-12-1089-01A-01D-0517-01
dbSNP_RS: TEXT | Rs-IDs from the dbSNP database, novel if not found in any database used, or null if there is no dbSNP record, but it is found in other databases
End_Position: NUMBER | End position, in 1-based integer coordinates
Hugo_Symbol: TEXT | HUGO symbol for the gene (HUGO symbols are always in all caps). Unknown is used for regions that do not correspond to a gene
NCBI_Build: TEXT | The reference genome used for the alignment (GRCh37)
Reference_Allele: TEXT | The plus strand reference allele at this position. Includes the deleted sequence for a deletion or - for an insertion
sample_barcode_normal: TEXT | TCGA sample barcode for the normal control, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
sample_barcode_tumor: TEXT | TCGA sample barcode for the tumor, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
Start_Position: NUMBER | Lowest numeric position of the reported variant on the genomic reference sequence. Mutation start coordinate
Tumor_Seq_Allele1: TEXT | Primary data genotype for tumor sequencing (discovery) allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
Tumor_Seq_Allele2: TEXT | Primary data genotype for tumor sequencing (discovery) allele 2. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
Variant_Classification: TEXT | Translational effect of variant allele
Variant_Type: TEXT | Type of mutation. TNP (tri-nucleotide polymorphism) is analogous to DNP (di-nucleotide polymorphism) but for three consecutive nucleotides. ONP (oligo-nucleotide polymorphism) is analogous to TNP but for consecutive runs of four or more (SNP, DNP, TNP, ONP, INS, DEL, or Consolidated)

@C7
ajcc_pathologic_m: TEXT | Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC)
ajcc_pathologic_n: TEXT | The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual
ajcc_pathologic_stage: TEXT | The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria
ajcc_pathologic_t: TEXT | Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC)
circumferential_resection_margin: TEXT | Numeric value used to describe the non-peritonealised bare area of rectum, comprising anterior and posterior segments, when submitted as a surgical specimen resulting from excision of cancer of the rectum
colon_polyps_history: TEXT | Yes/No indicator to describe if the subject had a previous history of colon polyps as noted in the history/physical or previous endoscopic report (s)
days_to_hiv_diagnosis: TEXT | Time interval from the date of the initial pathologic diagnosis to the date of human immunodeficiency diagnosis, represented as a calculated number of days
days_to_new_event: TEXT | Time interval from the date of new tumor event including progression, recurrence and new primary malignancies to the date of initial pathologic diagnosis, represented as a calculated number of days
demographic_id: TEXT | Unique identifier attributed to data for the characterization of the patient by means of segmenting the population--for instance, characterization by age, sex, or race (e.g. 848b480c-0f56-11e9-a064-0a9c39d33490)
demographic_submitter_id: TEXT | Unique identifier deriving from data submitter that is attributed to data for the characterization of the patient by means of segmenting the population (e.g., characterization by age, sex, or race) (e.g. P001-DM)
diagnosis_id: TEXT | Unique identifier for data from the investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation (e.g. e8dd475b-693a-11ea-b1fd-0aad30af8a83)
diagnosis_submitter_id: TEXT | Unique identifier deriving from data submitter attributed to data from the investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation (e.g. 33-DX)
figo_stage: TEXT | The extent of a cervical or endometrial cancer within the body, especially whether the disease has spread from the original site to other parts of the body, as described by the International Federation of Gynecology and Obstetrics (FIGO) stages
hiv_positive: TEXT | Text term to signify whether a physician has diagnosed HIV infection in a patient
hpv_positive_type: TEXT | Text classification to represent the strain or type of human papillomavirus identified in an individual
ldh_level_at_diagnosis: TEXT | The 2 decimal place numeric laboratory value measured, assigned or computed related to the assessment of lactate dehydrogenase in a specimen
ldh_normal_range_upper: TEXT | The top value of the range of statistical characteristics that are supposed to represent accepted standard, non-pathological pattern for lactate dehydrogenase (units not specified)
lymph_nodes_positive: TEXT | The number of lymph nodes involved with disease as determined by pathologic examination
morphology: TEXT | The third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms. The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs. In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains. A system of numbered categories for representation of data
new_event_anatomic_site: TEXT | Text term to specify the anatomic location of the return of tumor after treatment
new_event_type: TEXT | Text term to identify a new tumor event
primary_diagnosis: TEXT | Text term used to describe the patient's histologic diagnosis, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
site_of_resection_or_biopsy: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
tissue_or_organ_of_origin: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
tumor_stage: TEXT | The extent of a cancer in the body. Staging is usually based on the size of the tumor, whether lymph nodes contain cancer, and whether the cancer has spread from the original site to other parts of the body. The accepted values for tumor_stage depend on the tumor site, type, and accepted staging system. These items should accompany the tumor_stage value as associated metadata
year_of_birth: NUMBER | Numeric value to represent the calendar year in which an individual was born
year_of_death: NUMBER | Numeric value to represent the year of the death of an individual
year_of_diagnosis: TEXT | Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer

@C8
BAM_File: TEXT | Name of the bam file. Not in use in this table.
GENE_PHENO: TEXT | Indicates if gene that the variant maps to is associated with a phenotype, disease or trait (0, 1, or null)
HIGH_INF_POS: TEXT | A flag indicating if the variant falls in a high information position of a transcription factor binding profile (TFBP) (Y, N, or null)
Match_Norm_Seq_Allele1: TEXT | Primary data genotype. Matched normal sequencing allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases (cleared in somatic MAF)
Match_Norm_Seq_Allele2: TEXT | Matched normal sequencing allele 2
Match_Norm_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Matched normal genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases (cleared in somatic MAF)
Match_Norm_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Matched normal genotyping (validation) for allele 2 (cleared in somatic MAF)
MOTIF_NAME: TEXT | The source and identifier of a transcription factor binding profile aligned at this position
MOTIF_POS: TEXT | The relative position of the variation in the aligned TFBP
MOTIF_SCORE_CHANGE: TEXT | The difference in motif score of the reference and variant sequences for the TFBP
n_alt_count: TEXT | Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
n_ref_count: TEXT | Read depth supporting the reference allele in normal BAM (cleared in somatic MAF)
Score: TEXT | Not in use
Sequencing_Phase: TEXT | TCGA sequencing phase (if applicable). Phase should change under any circumstance that the targets under consideration change
Verification_Status: TEXT | Second pass results from independent attempt using same methods as primary data source. Generally reserved for 3730 Sanger Sequencing

@C9
access: TEXT | Data accessibility policy (open or controlled)
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc
file_size: NUMBER | The size of a file measured in bytes

@C10
diag__ann_arbor_b_symptoms: TEXT | Text term to signify whether lymphoma B-symptoms are present as noted in the patient's medical record.
diag__classification_of_tumor: TEXT | Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint.
diag__days_to_last_follow_up: FLOAT | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.
diag__last_known_disease_status: TEXT | Text term that describes the last known state or condition of an individual's neoplasm.
diag__prior_malignancy: TEXT | The yes/no/unknown indicator used to describe the patient's history of prior cancer diagnosis.
diag__prior_treatment: TEXT | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected.
diag__progression_or_recurrence: TEXT | Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.
diag__synchronous_malignancy: TEXT | A yes/no/unknown indicator used to describe whether the patient had an additional malignant diagnosis at the same time the tumor used for sequencing was diagnosed. If both tumors were sequenced, both tumors would have synchronous malignancies.
diag__tumor_grade: TEXT | Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.
exp__alcohol_history: TEXT | A response to a question that asks whether the participant has consumed at least 12 drinks of any kind of alcoholic beverage in their lifetime.
exp__years_smoked: FLOAT | Numeric value (or unknown) to represent the number of years a person has been smoking.

@C11
aliquot_id: TEXT | Unique PDC identifier for this aliquot (e.g. e8db124a-693a-11ea-b1fd-0aad30af8a83)
aliquot_run_metadata_id: TEXT | Uniquely identifies the aliquot by how it was used in the experiment (based on the labelling reagent and/or biological replicate)
aliquot_submitter_id: TEXT | Aliquot submitter id assigned by program (e.g. T14)
study_name: TEXT | Name of the study (e.g. Pediatric Brain Cancer Pilot Study - Phosphoproteome)

@C12
AFR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined African population
ALLELE_NUM: TEXT | Allele number from input; 0 is reference, 1 is first alternate etc.
AMR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined American population
callerName: TEXT | |-delimited list of mutation caller(s) that agreed on this particular call, always in alphabetical order: muse, mutect, somaticsniper, varscan
EAS_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined East Asian population
EUR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined European population
ExAC_AF: TEXT | Global Allele Frequency from  ExAC
ExAC_AF_Adj: TEXT | Adjusted Global Allele Frequency from ExAC
ExAC_AF_AFR: TEXT | African/African American Allele Frequency from ExAC
ExAC_AF_AMR: TEXT | American Allele Frequency from ExAC
ExAC_AF_EAS: TEXT | East Asian Allele Frequency from ExAC
ExAC_AF_FIN: TEXT | Finnish Allele Frequency from ExAC
ExAC_AF_NFE: TEXT | Non-Finnish European Allele Frequency from ExAC
ExAC_AF_OTH: TEXT | Other Allele Frequency from ExAC
ExAC_AF_SAS: TEXT | South Asian Allele Frequency from ExAC
GDC_Validation_Status: TEXT | GDC implementation of validation checks. See notes section (#5) below for details
GMAF: FLOAT | Non-reference allele and frequency of existing variant in   1000 Genomes
MC3_Overlap: TEXT | Indicates whether this region overlaps with an MC3 variant for the same sample pair
MINIMISED: TEXT | Alleles in this variant have been converted to minimal representation before consequence calculation (1 or null)
n_depth: TEXT | Read depth across this locus in normal BAM
SAS_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined South Asian population
t_alt_count: TEXT | Read depth supporting the variant allele in tumor BAM
t_depth: TEXT | Read depth across this locus in tumor BAM
t_ref_count: TEXT | Read depth supporting the reference allele in tumor BAM
TRANSCRIPT_STRAND: NUMBER | The DNA strand (1 or -1) on which the transcript/feature lies
TSL: NUMBER | Transcript support level, which is based on independent RNA analyses

@C13
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)
probe_id: TEXT | Unique ID for the array probe associated with a CpG site

@C14
Center: TEXT | One or more genome sequencing center reporting the variant
dbSNP_Val_Status: TEXT | The dbSNP validation status is reported as a semicolon-separated list of statuses. The union of all rs-IDs is taken when there are multiple
Entrez_Gene_Id: NUMBER | Entrez gene ID (an integer). 0 is used for regions that do not correspond to a gene region or Ensembl ID
Mutation_Status: TEXT | An assessment of the mutation as somatic, germline, LOH, post transcriptional modification, unknown, or none. The values allowed in this field are constrained by the value in the Validation_Status field
Sequencer: TEXT | Instrument used to produce primary sequence data
Tumor_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
Tumor_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 2
Validation_Method: TEXT | The assay platforms used for the validation call

@C15
AccessionNumber: NUMBER | Accession Number. Example: 1746145767942571
AcquisitionDate: NUMBER | Acquisition Date. Example: 20040914
AcquisitionNumber: NUMBER | Acquisition Number. Examples:3008, 2001, 37, 15, 1, 61
AcquisitionTime: FLOAT | Acquisition Time. Example: 160921.0
AdditionalPatientHistory: TEXT | Additional Patient History. Examples: RENAL MASSCIRROHIS1A, BRAIN LAB, liver lesion
BitsAllocated: NUMBER | Bits Allocated. Either 8 or 16
