[COMPONENTS]
@C1
AA_MAF: TEXT | Non-reference allele and frequency of existing variant in NHLBI-ESP African American population
Sequencing_Phase: TEXT | TCGA sequencing phase (if applicable). Phase should change under any circumstance that the targets under consideration change
Verification_Status: TEXT | Second pass results from independent attempt using same methods as primary data source. Generally reserved for 3730 Sanger Sequencing

@C6
age_began_smoking_in_years: TEXT | NULL
days_to_submitted_specimen_dx: TEXT | NULL
gleason_score_combined: TEXT | NULL
height: NUMBER | NULL
new_tumor_event_after_initial_treatment: BOOLEAN | NULL
number_of_lymphnodes_positive_by_he: TEXT | NULL
number_pack_years_smoked: NUMBER | NULL
psa_value: TEXT | NULL
weight: NUMBER | NULL
year_of_diagnosis: NUMBER | NULL

@C7
End_Position: NUMBER | Highest numeric genomic position of the reported variant on the genomic reference sequence. Mutation end coordinate
Start_Position: NUMBER | Lowest numeric position of the reported variant on the genomic reference sequence. Mutation start coordinate

@C8
EXPR: FLOAT | Fragments Per Kilobase of transcript per Million mapped reads (FPKM) is a simple expression level normalization method. The FPKM normalizes read count based on gene length and the total number of mapped reads. https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-FPKM/
ID: TEXT | Sample Barcode
PHENOTYPE: NUMBER | Whether the gene is from TCGA-PAAD or from TCGA-KIRP

@C9
batch_number: NUMBER | NULL
bcr: TEXT | NULL

@C10
cross_mapped: TEXT | A short isomiR read may map exactly to mature strands whose sequences are similar but not identical, when the read sequence does not capture the bases that distinguish these miRNAs (e.g. hsa-mir-30a at 6q13 and hsa-mir-30e at 1p34.2, which differ at position 18). We report such a <line_feed> read as cross-mapped, and we increment the read count for each MIMAT that it mapped to. Either Y or N -- fewer than 2% are Y
mirna_id: TEXT | One of 1788 unique miRNA ids (aka symbols) contained in this table, eg hsa-mir-21
read_count: NUMBER | Number of reads that were mapped to this mirna_id
reads_per_million_miRNA_mapped: FLOAT | Read count normalized by total reads mapped divided by 1 million

@C11
end_pos: NUMBER | 1-based end chromosome position of isoform
start_pos: NUMBER | 1-based start chromosome position of isoform

[TABLES]
## TCGA_HG38_DATA_V0.TCGA_METADATA_DATA_HG38_R14
type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
disease_code: TEXT | A code representing the type of cancer. Values can be found at https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/TCGA-study-abbreviations; eg. OV, GBM, LUAD
index_file_name_key: TEXT | GDC path to original vcf or bam index file
access: TEXT | Data accessibility policy (open or controlled)
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
program_name: TEXT | Program name, eg TCGA or TARGET
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
platform: TEXT | Platform used to generate data (null, Illumina)
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba37
file_size: NUMBER | The size of the file measured in bytes
index_file_id: TEXT | BAM  or VCF index file GDC file UUID
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc
index_file_size: NUMBER | When available, the size of the file measured in bytes
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
file_name_key: TEXT | GDC path to original bam or vcf file
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq

## TCGA_HG38_DATA_V0.COPY_NUMBER_SEGMENT_MASKED_R14
@use: [C11]
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
segment_mean: FLOAT | Mean CN value for this segment -- the value is base2 log(CN/2), centered at 0.
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
num_probes: NUMBER | Number of probes in the SNP array used to infer this CN segment
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba10
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-02
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; e.g. TCGA-OV, etc.
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba17

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHRY
@use: [C3]
file_gdc_id: TEXT | NULL
case_gdc_id: TEXT | NULL
aliquot_gdc_id: TEXT | NULL
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_gdc_id: TEXT | NULL

## TCGA_HG38_DATA_V0.COPY_NUMBER_SEGMENT_MASKED
@use: [C11]
file_gdc_id: TEXT | NULL
segment_mean: FLOAT | Mean CN value for this segment -- the value is base2 log(CN/2), centered at 0
case_gdc_id: TEXT | NULL
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_gdc_id: TEXT | NULL
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
aliquot_gdc_id: TEXT | NULL
num_probes: NUMBER | Number of probes in the SNP array used to infer this CN segment
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHR5
@use: [C3]
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
aliquot_gdc_id: TEXT | NULL
file_gdc_id: TEXT | NULL
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_gdc_id: TEXT | NULL
case_gdc_id: TEXT | NULL

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHR2
@use: [C3]
aliquot_gdc_id: TEXT | NULL
case_gdc_id: TEXT | NULL
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
sample_gdc_id: TEXT | NULL
file_gdc_id: TEXT | NULL
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details

## TCGA_HG38_DATA_V0.MIRNASEQ_ISOFORM_EXPRESSION
@use: [C10, C11]
mirna_accession: TEXT | One of 2459 unique mature miRNA accession id (eg MIMAT0000062) -- note that this can also be null, in the event that this read does not map to a mature portion of the miRNA
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
mirna_transcript: TEXT | Indicates the type of transcript -- either mature, precursor, unannotated, or stemloop  (if this value is not mature, then the mirna_accession field will be null)
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHR14
@use: [C3]
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_gdc_id: TEXT | NULL
file_gdc_id: TEXT | NULL
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_gdc_id: TEXT | NULL
aliquot_gdc_id: TEXT | NULL
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHR4
@use: [C3]
aliquot_gdc_id: TEXT | NULL
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
file_gdc_id: TEXT | NULL
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
case_gdc_id: TEXT | NULL
sample_gdc_id: TEXT | NULL
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHR19
@use: [C3]
file_gdc_id: TEXT | NULL
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
sample_gdc_id: TEXT | NULL
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_gdc_id: TEXT | NULL
aliquot_gdc_id: TEXT | NULL

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHR18
@use: [C3]
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
file_gdc_id: TEXT | NULL
aliquot_gdc_id: TEXT | NULL
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
case_gdc_id: TEXT | NULL
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_gdc_id: TEXT | NULL

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHR8
@use: [C3]
file_gdc_id: TEXT | NULL
sample_gdc_id: TEXT | NULL
case_gdc_id: TEXT | NULL
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
aliquot_gdc_id: TEXT | NULL
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHR21
@use: [C3]
sample_gdc_id: TEXT | NULL
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
file_gdc_id: TEXT | NULL
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
aliquot_gdc_id: TEXT | NULL
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_gdc_id: TEXT | NULL

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHR20
@use: [C3]
file_gdc_id: TEXT | NULL
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
case_gdc_id: TEXT | NULL
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
sample_gdc_id: TEXT | NULL
aliquot_gdc_id: TEXT | NULL
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01

## TCGA_HG38_DATA_V0.DNA_METHYLATION_CHR3
@use: [C3]
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
file_gdc_id: TEXT | NULL
aliquot_gdc_id: TEXT | NULL
case_gdc_id: TEXT | NULL
